ID	Length	SRR7537190_sorted
ENSG00000103335.22	4499	1.76
ENSG00000175197.12	5999	11.22
ENSG00000236499.2	3999	0.67
ENSG00000155363.18	6999	50.84
ENSG00000100027.15	11999	1.79
ENSG00000106603.18	6999	1.76
ENSG00000166793.12	6499	0.89
ENSG00000204220.11	18999	14.7
ENSG00000080200.10	17999	1.23
ENSG00000079435.10	4499	0.43
ENSG00000275902.1	12999	6.74
ENSG00000109519.13	5499	3.63
ENSG00000227227.1	24499	6.82
ENSG00000233885.7	8999	1.27
ENSG00000109163.6	9499	0.59
ENSG00000198231.13	7499	7.23
ENSG00000162437.14	29999	18.92
ENSG00000265678.1	3999	1.64
ENSG00000266002.1	3999	3.92
ENSG00000161714.12	13999	7.17
ENSG00000127990.18	3999	0.32
ENSG00000091140.14	4499	7.86
ENSG00000060237.17	6999	1.24
ENSG00000260570.1	6499	2.62
ENSG00000277371.1	26499	1.03
ENSG00000184602.6	5499	2.85
ENSG00000284736.1	27499	1.29
ENSG00000163607.15	3999	0.81
ENSG00000195401.2	4999	0.56
ENSG00000270094.1	9999	1.28
ENSG00000178802.18	4999	3.1
ENSG00000276259.1	5499	2.84
ENSG00000125872.7	4499	3.26
ENSG00000175110.11	9999	11.21
ENSG00000232719.1	5499	0.31
ENSG00000235663.1	6999	0.54
ENSG00000010361.13	11499	6.84
ENSG00000279541.1	12499	5.25
ENSG00000138385.16	11499	1.83
ENSG00000008056.14	7999	3.36
ENSG00000197111.15	6499	1.23
ENSG00000172059.11	4499	2.24
ENSG00000269439.6	4999	0.49
ENSG00000254960.2	6999	0.44
ENSG00000125149.11	4499	1.42
ENSG00000177728.17	7999	1.01
ENSG00000100216.6	15999	5.39
ENSG00000229743.4	3999	0.36
ENSG00000273611.5	3999	1.54
ENSG00000231194.1	5999	2.53
ENSG00000166888.12	5499	2.76
ENSG00000254907.1	5999	2.84
ENSG00000100241.21	8999	2.65
ENSG00000259052.1	17999	3.42
ENSG00000173914.12	5499	0.49
ENSG00000259242.2	4499	0.38
ENSG00000253636.1	4499	2.12
ENSG00000120314.18	16999	4.39
ENSG00000283476.1	20999	3.44
ENSG00000236308.1	4499	1.12
ENSG00000286158.1	9499	0.62
ENSG00000099203.7	8999	9.08
ENSG00000131969.15	5499	3.97
ENSG00000185507.21	9499	5.29
ENSG00000121454.6	9999	0.79
ENSG00000104765.16	5499	4.32
ENSG00000139835.13	4999	39.51
ENSG00000188529.14	5499	15.64
ENSG00000212205.1	4499	0.45
ENSG00000142188.17	8999	3.32
ENSG00000182376.2	25999	0.85
ENSG00000141367.11	9999	2.21
ENSG00000143303.12	13499	15.77
ENSG00000088766.11	3999	7.39
ENSG00000238482.1	32999	1.64
ENSG00000151466.12	55499	2.3
ENSG00000240869.3	18499	0.73
ENSG00000260884.1	17999	1.33
ENSG00000106853.20	7999	0.71
ENSG00000143393.16	9499	2.37
ENSG00000101162.3	16499	11.82
ENSG00000226890.1	11499	0.52
ENSG00000158850.15	4999	2.06
ENSG00000154099.18	8499	1.61
ENSG00000256512.1	7499	1.74
ENSG00000131899.11	15499	18.88
ENSG00000168679.18	9499	0.76
ENSG00000235079.1	13999	3.19
ENSG00000272899.4	5999	0.55
ENSG00000252503.1	5499	2.81
ENSG00000154122.14	18999	2.1
ENSG00000252984.1	9999	0.41
ENSG00000277801.1	6499	3.1
ENSG00000103253.18	5499	0.96
ENSG00000136059.14	4999	1.36
ENSG00000285979.1	4499	1.83
ENSG00000106624.11	3999	9.41
ENSG00000173531.15	9999	8.32
ENSG00000180448.10	8999	8.81
ENSG00000152954.12	10999	1.4
ENSG00000168795.5	15499	2.5
ENSG00000187634.12	15999	4.42
ENSG00000081059.20	7499	12.46
ENSG00000203499.11	6499	2.63
ENSG00000259618.1	13499	1.46
ENSG00000237836.6	6999	0.58
ENSG00000264474.1	8999	2.0
ENSG00000197989.14	4999	1.35
ENSG00000004487.16	11999	8.02
ENSG00000269834.6	7999	1.66
ENSG00000164171.11	4999	2.83
